source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,astrometric_excess_noise,teff_gspphot,radius_gspphot,add_teff,add_r,add_g,add_b
194347240083010560,82.70272438864669,41.461835954557145,8.407094057284054,0.033849765,5.6997676,6.239478,5.01169,1.227788,0.9398932,0.17851591,,,4254.91664344165,1.0,0.8312220336399005,0.6956003114346604
207274026495027712,79.56551852719764,42.79197517530932,5.483477146344811,0.16496412,4.1710677,5.861273,2.9794307,2.8818421,1.9634081,1.193551,,,2463.3276786078304,1.0,0.6180182576546718,0.2613316924511142
246890426876337280,58.99250823051131,47.87132724860545,4.609401022769629,0.122964025,5.3459225,5.306807,5.3855386,-0.07873154,1.4631486,0.7968783,12714.898,6.3835,11227.103267253371,0.7633022402617224,0.8380738108759727,1.0
263916708025623680,85.33475293851619,53.478731438569575,81.4987133119068,0.025277,5.9909477,6.41243,5.4026074,1.0098224,0.9620795,0.14921819,5176.9434,0.8634,4719.278019115854,1.0,0.871626938788596,0.7680439452203833
270632490692926720,64.56121354485205,50.29525307791064,8.546713574512976,0.23349737,4.582041,4.6048365,4.479269,0.12556744,2.7436318,1.5496452,,,8787.767857059425,0.8299693072537268,0.87881641678066,1.0
273895291446188288,68.00769054760464,53.91082090210578,1.26300967421916,0.04858999,5.712364,5.792099,5.5329623,0.25913668,1.2225959,0.35517552,,,7731.8553898366,0.8843037111070554,0.9109834292302578,1.0
283924349317110400,76.53516570207518,58.97234148087393,4.75425539790406,0.12235853,5.261821,5.198219,5.3354063,-0.13718748,1.031733,0.6428453,,,12238.632867914434,0.7455257276967838,0.8269525454545565,1.0
283927609195553792,76.55054730684735,59.02122087902668,4.626270682037768,0.058069468,5.8076453,6.3899,5.0578337,1.3320665,2.3998053,0.44463608,4565.476,23.2119,4064.9280062663233,1.0,0.813403442839351,0.6629304501712994
313822819254016512,19.078985665261087,33.1145661222957,9.348676769889982,0.034463774,5.72535,6.2859354,5.017989,1.2679462,1.2903719,0.22098193,,,4179.590500743289,1.0,0.8242544369841778,0.682881531106806
348684450322398976,25.165859336458546,43.29748897228966,11.755943402100886,0.121569104,5.597114,5.696947,5.4049764,0.29197073,1.6149454,0.5970437,7814.294,3.1074,7513.276726315011,0.9003395959939577,0.9203121155698735,1.0
376644584339526656,17.004537765311323,43.94182155173697,16.432048643588953,0.17672974,5.01231,5.068957,4.906716,0.16224098,1.45109,0.98110425,,,8467.238731650492,0.8435832273487098,0.886959682385806,1.0
